analysis,statistic,row_value,row_n,inspection_value,inspection_n
3.1_correlation,pearson_Closed_vs_is_blue,-0.0105,93354.0,,
3.1_correlation,pearson_Closed_vs_is_red,0.0385,93354.0,,
3.1_correlation,pearson_Grade_ord_vs_Closed,-0.1015,93354.0,-0.0597,60271.0
3.1_correlation,pearson_Grade_ord_vs_Result_enc,-0.4338,93354.0,-0.3312,60271.0
3.1_correlation,pearson_Grade_ord_vs_is_blue,-0.0717,93354.0,,
3.1_correlation,pearson_Grade_ord_vs_is_red,-0.3029,93354.0,,
3.1_correlation,pearson_Inspection_Score_vs_Closed,0.1258,93354.0,0.0833,60271.0
3.1_correlation,pearson_Inspection_Score_vs_Grade_ord,-0.5473,93354.0,-0.4469,60271.0
3.1_correlation,pearson_Inspection_Score_vs_Result_enc,0.6067,93354.0,0.6288,60271.0
3.1_correlation,pearson_Inspection_Score_vs_Risk_Category,0.1746,93354.0,0.1398,60271.0
3.1_correlation,pearson_Inspection_Score_vs_Violation_Points,0.5233,93354.0,,
3.1_correlation,pearson_Inspection_Score_vs_has_red,,,0.669,60271.0
3.1_correlation,pearson_Inspection_Score_vs_is_blue,0.1621,93354.0,,
3.1_correlation,pearson_Inspection_Score_vs_is_red,0.3814,93354.0,,
3.1_correlation,pearson_Inspection_Score_vs_n_violations,,,0.8903,60271.0
3.1_correlation,pearson_Inspection_Score_vs_total_violation_pts,,,0.9999,60271.0
3.1_correlation,pearson_Result_enc_vs_Closed,0.0371,93354.0,0.0291,60271.0
3.1_correlation,pearson_Result_enc_vs_is_blue,0.0908,93354.0,,
3.1_correlation,pearson_Result_enc_vs_is_red,0.6387,93354.0,,
3.1_correlation,pearson_Risk_Category_vs_Closed,0.008,93354.0,0.0042,60271.0
3.1_correlation,pearson_Risk_Category_vs_Grade_ord,-0.136,93354.0,-0.1111,60271.0
3.1_correlation,pearson_Risk_Category_vs_Result_enc,0.1755,93354.0,0.1231,60271.0
3.1_correlation,pearson_Risk_Category_vs_is_blue,0.0623,93354.0,,
3.1_correlation,pearson_Risk_Category_vs_is_red,0.1225,93354.0,,
3.1_correlation,pearson_Violation_Points_vs_Closed,0.0413,93354.0,,
3.1_correlation,pearson_Violation_Points_vs_Grade_ord,-0.3437,93354.0,,
3.1_correlation,pearson_Violation_Points_vs_Result_enc,0.5667,93354.0,,
3.1_correlation,pearson_Violation_Points_vs_Risk_Category,0.1381,93354.0,,
3.1_correlation,pearson_Violation_Points_vs_is_blue,-0.0653,93354.0,,
3.1_correlation,pearson_Violation_Points_vs_is_red,0.6619,93354.0,,
3.1_correlation,pearson_has_red_vs_Closed,,,0.0294,60271.0
3.1_correlation,pearson_has_red_vs_Grade_ord,,,-0.3853,60271.0
3.1_correlation,pearson_has_red_vs_Result_enc,,,0.9273,60271.0
3.1_correlation,pearson_has_red_vs_Risk_Category,,,0.1529,60271.0
3.1_correlation,pearson_is_red_vs_is_blue,-0.5001,93354.0,,
3.1_correlation,pearson_n_violations_vs_Closed,,,0.0598,60271.0
3.1_correlation,pearson_n_violations_vs_Grade_ord,,,-0.4069,60271.0
3.1_correlation,pearson_n_violations_vs_Result_enc,,,0.6162,60271.0
3.1_correlation,pearson_n_violations_vs_Risk_Category,,,0.1415,60271.0
3.1_correlation,pearson_n_violations_vs_has_red,,,0.6483,60271.0
3.1_correlation,pearson_total_violation_pts_vs_Closed,,,0.0833,60271.0
3.1_correlation,pearson_total_violation_pts_vs_Grade_ord,,,-0.4471,60271.0
3.1_correlation,pearson_total_violation_pts_vs_Result_enc,,,0.6288,60271.0
